# bubble_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      25 3.859e-06 4.448e-06 4.143e-06 1.425e-07
      32 4.615e-06 5.317e-06 4.960e-06 1.686e-07
      40 5.505e-06 6.352e-06 5.911e-06 1.960e-07
      50 6.906e-06 7.837e-06 7.356e-06 2.280e-07
      63 8.816e-06 1.292e-05 1.046e-05 1.213e-06
      79 1.091e-05 1.382e-05 1.165e-05 4.317e-07
     100 1.417e-05 2.048e-05 1.570e-05 1.640e-06
     126 1.831e-05 2.626e-05 1.986e-05 1.921e-06
     158 2.403e-05 3.359e-05 2.628e-05 2.413e-06
     200 3.172e-05 4.348e-05 3.371e-05 2.430e-06
     251 1.393e-05 4.932e-05 2.621e-05 1.227e-05
     316 1.219e-05 1.636e-05 1.385e-05 1.204e-06
     398 1.605e-05 2.314e-05 1.740e-05 1.019e-06
     501 2.099e-05 2.785e-05 2.281e-05 1.294e-06
     631 2.802e-05 1.300e-04 8.760e-05 4.611e-05
     794 1.591e-04 2.039e-04 1.636e-04 6.032e-06
    1000 4.686e-05 2.166e-04 1.078e-04 7.155e-05
    1259 6.271e-05 2.843e-04 1.722e-04 1.042e-04
    1585 8.178e-05 3.711e-04 2.375e-04 1.323e-04
    1995 1.082e-04 4.830e-04 3.696e-04 1.603e-04
    2512 1.342e-04 2.050e-04 1.520e-04 1.318e-05
    3162 1.755e-04 8.579e-04 6.793e-04 2.503e-04
    3981 2.347e-04 1.120e-03 6.921e-04 3.948e-04
    5012 3.068e-04 1.393e-03 6.716e-04 4.761e-04
    6310 3.980e-04 1.826e-03 6.176e-04 4.641e-04
    7943 5.251e-04 2.377e-03 1.574e-03 8.458e-04
   10000 6.900e-04 3.089e-03 1.787e-03 1.117e-03
   12589 9.025e-04 4.074e-03 2.387e-03 1.449e-03
   15849 1.172e-03 5.359e-03 2.648e-03 1.837e-03
   19953 1.535e-03 6.788e-03 3.646e-03 2.421e-03
   25119 2.003e-03 8.906e-03 5.312e-03 3.218e-03
   31623 2.602e-03 1.173e-02 7.084e-03 4.183e-03
   39811 3.398e-03 1.499e-02 8.638e-03 5.425e-03
   50119 4.382e-03 1.931e-02 1.002e-02 6.833e-03
   63096 5.729e-03 2.517e-02 1.537e-02 9.102e-03
   79433 7.147e-03 3.342e-02 1.744e-02 1.167e-02
  100000 8.500e-03 1.103e-02 9.786e-03 5.875e-04
  125893 1.303e-02 1.421e-02 1.334e-02 2.229e-04
  158489 1.682e-02 1.817e-02 1.721e-02 2.448e-04
  199526 2.122e-02 2.395e-02 2.233e-02 5.102e-04
  251189 2.822e-02 3.031e-02 2.880e-02 4.067e-04
  316228 3.656e-02 4.567e-02 3.888e-02 1.967e-03
  398107 4.555e-02 5.660e-02 4.950e-02 1.733e-03
  501187 6.197e-02 7.825e-02 6.619e-02 3.690e-03
#------- --------- --------- --------- ---------


# quick_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 9.010e-07 1.249e-06 1.000e-06 8.079e-08
      13 9.080e-07 1.443e-06 1.056e-06 1.338e-07
      16 8.870e-07 1.377e-06 1.019e-06 1.139e-07
      20 9.320e-07 1.434e-06 1.166e-06 1.138e-07
      25 1.045e-06 1.891e-06 1.275e-06 1.699e-07
      32 1.199e-06 1.575e-06 1.377e-06 8.988e-08
      40 1.438e-06 2.146e-06 1.700e-06 1.720e-07
      50 1.694e-06 2.987e-06 2.082e-06 3.625e-07
      63 1.913e-06 3.135e-06 2.399e-06 2.592e-07
      79 2.525e-06 3.489e-06 2.854e-06 2.077e-07
     100 3.376e-06 5.294e-06 4.146e-06 4.778e-07
     126 3.958e-06 5.846e-06 4.635e-06 5.069e-07
     158 5.518e-06 7.498e-06 6.124e-06 4.524e-07
     200 6.472e-06 1.036e-05 7.414e-06 9.455e-07
     251 7.489e-06 1.233e-05 9.060e-06 1.243e-06
     316 9.673e-06 1.491e-05 1.122e-05 1.144e-06
